index,decision_date,return_date,hard_regime,asset_simple_return,memory_net_return,memory_exposure,memory_turnover,memory_action,memory_beta,memory_valid,memory_cited_memory_count,memory_retrieved_memory_count,memory_memory_total_before,memory_shadow_net_return,memory_pretrade_exposure,memory_shadow_pretrade_exposure,memory_desired_exposure,memory_shadow_exposure,memory_confidence,memory_error,memory_request_sha256,memory_latency_seconds,no_memory_net_return,no_memory_exposure,no_memory_turnover,no_memory_action,no_memory_beta,no_memory_valid,no_memory_cited_memory_count,no_memory_retrieved_memory_count,no_memory_memory_total_before,no_memory_shadow_net_return,no_memory_pretrade_exposure,no_memory_shadow_pretrade_exposure,no_memory_desired_exposure,no_memory_shadow_exposure,no_memory_confidence,no_memory_error,no_memory_request_sha256,no_memory_latency_seconds
0,2021-01-01,2021-01-02,bull,0.096505778289435407,0.033415200443461801,0.35000000000000003,0.35000000000000003,BTC,0.050000000000000003,True,0,0,0,0.033415200443461801,0,0,0.52500000000000002,0.35000000000000003,0.99999999999949363,,2be31190bfa84c9ef0031736bd8dc7764cfc51ea404251cce77dd708e0507cf5,6.057807644829154,0.033415200443461801,0.35000000000000003,0.35000000000000003,BTC,0.050000000000000003,True,0,0,0,0.033415200443461801,0,0,0.52500000000000002,0.35000000000000003,0.99999999999949363,,2be31190bfa84c9ef0031736bd8dc7764cfc51ea404251cce77dd708e0507cf5,4.4197978619486094
1,2021-01-02,2021-01-03,bull,0.0237813458079787,0.011760379551502664,0.5,0.12876228230547393,BTC,0.050000000000000003,True,0,1,1,0.016312706896612683,0.37123771769452607,0.37123771769452607,0.52500000000000002,0.70000000000000007,0.99999999999962563,,24f9181f89a36e55b57bed5f0cd9af6f79b7590495a5d999337ef8a4df61ddc0,6.170209227129817,0.011760379551502664,0.5,0.12876228230547393,BTC,0.050000000000000003,True,0,0,1,0.016312706896612683,0.37123771769452607,0.37123771769452607,0.52500000000000002,0.70000000000000007,0.99999999999962563,,a76f96db5f30dbab1c00e75042cfe22a5e98a2d7ff9f5685e32ac526d3fb36b5,5.7576453778892756
2,2021-01-03,2021-01-04,bull,-0.028408108280312799,-0.014209846157740902,0.5,0.0058754731229336832,BTC,0.050000000000000003,True,0,2,2,-0.021350208260483505,0.50587547312293368,0.70491230771769098,0.52500000000000002,0.75,0.99999999999999323,,c433af9c5d2ac19bfb91020d4f28a2837397508b7ac9ad9d2b1238732b4532aa,5.6476099714636803,-0.014209846157740902,0.5,0.0058754731229336832,BTC,0.050000000000000003,True,0,0,2,-0.021350208260483505,0.50587547312293368,0.70491230771769098,0.52500000000000002,0.75,0.99999999999999323,,ddcfcad10b253169e3ea90e425d130a128ee8f719d1e55c391ae2519747d0565,5.9838032759726048
3,2021-01-04,2021-01-05,bull,0.061484701429615297,0.030734924877738878,0.5,0.0072043581634773646,BTC,0.050000000000000003,True,0,3,3,0.046107832622166889,0.49279564183652264,0.74455752181525214,0.52500000000000002,0.75,0.99999999999999956,,d0623919172b019035e82799478f9d9c5d3d11fb1e3998c27eac159937a770f9,5.906050369143486,0.030734924877738878,0.5,0.0072043581634773646,BTC,0.050000000000000003,True,0,0,3,0.046107832622166889,0.49279564183652264,0.74455752181525214,0.52500000000000002,0.75,0.99999999999999956,,59b4087ca1a47ff2cfc866ac5d8cf5272e50bb66a58322cea8ca4d805baa94ef,5.9566920921206474
4,2021-01-05,2021-01-06,bull,0.082423547063236402,0.041196246228656364,0.5,0.014912723190954713,BTC,0.050000000000000003,True,0,4,4,0.061805958853190734,0.51491272319095471,0.76102020118345859,0.52500000000000002,0.75,0.99999999999999556,,7e7923706c9f917de1571133c3e616d9bf374a2d48c1c61cbbfab1daf678eaec,6.0163608528673649,0.041196246228656364,0.5,0.014912723190954713,BTC,0.050000000000000003,True,0,0,4,0.061805958853190734,0.51491272319095471,0.76102020118345859,0.52500000000000002,0.75,0.99999999999999556,,b265f7e2b5934d702c0dff8e029b104e08b5ae013325473079009c51b03a2de7,6.0020183920860291
5,2021-01-06,2021-01-07,bull,0.072486220279834396,0.036222602584458974,0.5,0.0197902936651565,BTC,0.050000000000000003,True,0,5,5,0.054349319270751595,0.5197902936651565,0.76455467887963724,0.52500000000000002,0.75,0.99999999999999922,,465172fdc0032fd1355616ab6be432b2331ae82911fb7c857114ba1b20a305b5,6.3467772863805294,0.036222602584458974,0.5,0.0197902936651565,BTC,0.050000000000000003,True,0,0,5,0.054349319270751595,0.5197902936651565,0.76455467887963724,0.52500000000000002,0.75,0.99999999999999922,,a410128dc469fb440992954f32f43982c22b45c94801434ba536df4a1e8aab69,5.7813013717532158
6,2021-01-07,2021-01-08,bull,0.0288670609880337,0.014415790339310064,0.5,0.017487744808756145,BTC,0.050000000000000003,True,3,5,6,0.021637126275535268,0.51748774480875614,0.76289038484589544,0.52500000000000002,0.75,0.99999999999999922,,551dc2ef57e19849e66965ffbaa45bd227e314668b9eb3e329ac1090c44b016d,8.0184594932943583,0.014415790339310064,0.5,0.017487744808756145,BTC,0.050000000000000003,True,0,0,6,0.021637126275535268,0.51748774480875614,0.76289038484589544,0.52500000000000002,0.75,0.94999999999999996,,71b8fb9113ef434f105e90826e531192f37b645c67b22b5bbec5bacd9efbe0ae,5.5567686278373003
7,2021-01-08,2021-01-09,bull,-0.0110198944316773,-0.0055170221015119481,0.5,0.0071140839000993772,BTC,0.050000000000000003,True,3,5,7,-0.0082701749106628419,0.50711408390009938,0.75529787340914978,0.52500000000000002,0.75,0.99999999999999922,,8e867c1456761cd02c6235005ceeda58a1e20c797aee0cd8c794ce59a0c8c492,8.0736690033227205,-0.0055170221015119481,0.5,0.0071140839000993772,BTC,0.050000000000000003,True,0,0,7,-0.0082701749106628419,0.50711408390009938,0.75529787340914978,0.52500000000000002,0.75,0.94999999999999996,,e50e96f3f2994d002a6e385de39edd453cc9b2de4ba9f78d672091bbfd5116fc,5.3214938268065453
8,2021-01-09,2021-01-10,bull,-0.048807154829534898,-0.024406280048533069,0.5,0.0027702374701552013,BTC,0.050000000000000003,True,5,5,8,-0.036607373306463353,0.4972297625298448,0.74791655024681014,0.52500000000000002,0.75,0.99999999999999323,,f86c84f1ae1a6130a02ce508e1d7244ebd69b3487f5ea46cbf4eb8ab462128c5,9.0239899847656488,-0.024406280048533069,0.5,0.0027702374701552013,BTC,0.050000000000000003,True,0,0,8,-0.036607373306463353,0.4972297625298448,0.74791655024681014,0.52500000000000002,0.75,1,,2f8dfa76c3e33bb6cef5f21c202348948c7e7848c2cfa108fe8e556536f16f07,4.9283646438270807
9,2021-01-10,2021-01-11,bull,-0.069330910500049497,-0.034677528693381254,0.5,0.012507004356422546,BTC,0.050000000000000003,True,2,5,9,-0.052007187999308147,0.48749299564357745,0.7405009419725519,0.52500000000000002,0.75,0.99999999999999922,,63d223c956c0a008a8c206043132bdd9801b3b4877a2ce42a2a59013ea61352f,7.3661023303866386,-0.034677528693381254,0.5,0.012507004356422546,BTC,0.050000000000000003,True,0,0,9,-0.052007187999308147,0.48749299564357745,0.7405009419725519,0.52500000000000002,0.75,0.94999999999999996,,c0d972caddd336b173153879506d95f2372fa7994c095bf291846e113cb7983f,5.3420796506106853
