decision_date,return_date,prob_bear,prob_bull,prob_mix,hard_regime,transition_day,router_confidence,router_entropy,uncertainty_bucket,agent_triggered,plan_valid,decision_valid,plan_status,decision_status,selected_tools,tool_result_ids,model_proposed_residual,executed_residual,evidence_gate_status,confidence,cited_tool_result_ids,base_desired_exposure,desired_exposure,pretrade_exposure,final_exposure,turnover,ambiguity_cvar,risk_fallback_used,asset_simple_return,portfolio_net_return,transparent_final_exposure,transparent_turnover,transparent_net_return,log_advantage_vs_transparent,provider_error
2021-01-01,2021-01-02,1.3822076509313222e-26,0.99999999999949363,5.0625768357105121e-13,bull,False,0.99999999999949363,1.3507407504563366e-11,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0,0.35000000000000003,0.35000000000000003,0.021029895938006405,False,0.096505778289435407,0.033415200443461801,0.35000000000000003,0.35000000000000003,0.033415200443461801,0,
2021-01-02,2021-01-03,8.6867971685061611e-27,0.99999999999962563,3.7433930129560642e-13,bull,False,0.99999999999962563,1.0090518293363496e-11,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.37123771769452607,0.5,0.12876228230547393,0.029678009014958467,False,0.0237813458079787,0.011760379551502664,0.5,0.12876228230547393,0.011760379551502664,0,
2021-01-03,2021-01-04,6.4694897100760068e-30,0.99999999999999323,6.7728504697806055e-15,bull,False,0.99999999999999323,2.0730006006342712e-13,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.50587547312293368,0.5,0.0058754731229336832,0.029558753886044026,False,-0.028408108280312799,-0.014209846157740902,0.5,0.0058754731229336832,-0.014209846157740902,0,
2021-01-04,2021-01-05,4.9827050240378674e-32,0.99999999999999956,3.1440605277355787e-16,bull,False,0.99999999999999956,1.0619833298048763e-14,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.49279564183652264,0.5,0.0072043581634773646,0.029560043498475803,False,0.061484701429615297,0.030734924877738878,0.5,0.0072043581634773646,0.030734924877738878,0,
2021-01-05,2021-01-06,5.6192631318445794e-30,0.99999999999999556,4.3429553039174643e-15,bull,False,0.99999999999999556,1.3477310127086977e-13,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.51491272319095471,0.5,0.014912723190954713,0.02956752405779042,False,0.082423547063236402,0.041196246228656364,0.5,0.014912723190954713,0.041196246228656364,0,
2021-01-06,2021-01-07,1.3258353997919832e-31,0.99999999999999922,6.628938186445444e-16,bull,False,0.99999999999999922,2.1795896701537843e-14,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.5197902936651565,0.5,0.0197902936651565,0.029572257481170507,False,0.072486220279834396,0.036222602584458974,0.5,0.0197902936651565,0.036222602584458974,0,
2021-01-07,2021-01-08,3.9985980558053269e-36,1,2.1968043081084025e-18,bull,False,1,8.1303501792606765e-17,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.51748774480875614,0.5,0.017487744808756145,0.02957002297966034,False,0.0288670609880337,0.014415790339310064,0.5,0.017487744808756145,0.014415790339310064,0,
2021-01-08,2021-01-09,2.516241381163636e-40,1,1.0941871716125954e-20,bull,False,1,4.5776560294579026e-19,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.50711408390009938,0.5,0.0071140839000993772,0.02955995589209242,False,-0.0110198944316773,-0.0055170221015119481,0.5,0.0071140839000993772,-0.0055170221015119481,0,
2021-01-09,2021-01-10,5.9332842790265787e-42,1,1.2451458892065317e-21,bull,False,1,5.4555315502194402e-20,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.4972297625298448,0.5,0.0027702374701552013,0.029555740419582179,False,-0.048807154829534898,-0.024406280048533069,0.5,0.0027702374701552013,-0.024406280048533069,0,
2021-01-10,2021-01-11,2.9054209572251585e-41,1,2.3009882999314254e-21,bull,False,1,9.9530241013087996e-20,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.48749299564357745,0.5,0.012507004356422546,0.029757079873941647,False,-0.069330910500049497,-0.034677528693381254,0.5,0.012507004356422546,-0.034677528693381254,0,
2021-01-11,2021-01-12,4.954340585009968e-38,1,1.5056677068369944e-19,bull,False,1,5.9398077803331966e-18,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.48204484888759308,0.5,0.01795515111240692,0.030698863628361217,False,-0.041306200994252397,-0.02067068481869816,0.5,0.01795515111240692,-0.02067068481869816,0,
2021-01-12,2021-01-13,1.4216618415499967e-31,0.99999999999999922,6.9670035617936204e-16,bull,False,0.99999999999999922,2.2839833130897904e-14,high_confidence,False,False,False,NOT_TRIGGERED,NOT_TRIGGERED,,,0,0,NOT_TRIGGERED_TRANSPARENT_CONTROLLER,0,,0.5,0.5,0.48945567678439073,0.5,0.010544323215609275,0.030691680175479446,False,0.097021079290176795,0.048499483811063504,0.5,0.010544323215609275,0.048499483811063504,0,
