decision_date,return_date,prob_bear,prob_bull,prob_mix,hard_regime,router_entropy,router_transition_l1,return_7,return_30,realized_vol_30,drawdown_90,action,confidence,reason_codes,cited_memory_ids,valid_action,memory_episodes_seen,llama_beta,base_desired_exposure,base_final_exposure,base_net_return,full_final_exposure,full_turnover,full_net_return,frozen_beta_final_exposure,frozen_beta_turnover,frozen_beta_net_return,deterministic_action,deterministic_beta,deterministic_final_exposure,deterministic_turnover,deterministic_net_return,shadow_final_exposure,shadow_turnover,shadow_net_return,shadow_log_advantage_vs_ramoe,asset_simple_return
2021-01-01,2021-01-02,1.3822076509313222e-26,0.99999999999949363,5.0625768357105121e-13,bull,1.3507407504563366e-11,0,0.1891606182360186,0.52766561908131626,0.62408484930992336,0,BTC,0.99999999999949363,HIGH_VOLATILITY|BULLISH_ROUTER,,True,0,0.050000000000000003,0.5,0.34999999999999998,0.033415200443461801,0.35000000000000003,0.35000000000000003,0.033415200443461801,0.35000000000000003,0.35000000000000003,0.033415200443461801,BTC,0.050000000000000003,0.35000000000000003,0.35000000000000003,0.033415200443461801,0.35000000000000003,0.35000000000000003,0.033415200443461801,0,0.096505778289435407
2021-01-02,2021-01-03,8.6867971685061611e-27,0.99999999999962563,3.7433930129560642e-13,bull,1.0090518293363496e-11,2.63923899903381e-13,0.21693555703399037,0.65660489983687786,0.68062077367691198,0,BTC,0.99999999999962563,HIGH_VOLATILITY|BULLISH_ROUTER,,True,1,0.050000000000000003,0.5,0.5,0.0117603795515026,0.5,0.12876228230547393,0.011760379551502664,0.5,0.12876228230547393,0.011760379551502664,BTC,0.050000000000000003,0.5,0.12876228230547393,0.011760379551502664,0.70000000000000007,0.328762282305474,0.016312706896612683,0.0044893204501947667,0.0237813458079787
2021-01-03,2021-01-04,6.4694897100760068e-30,0.99999999999999323,6.7728504697806055e-15,bull,2.0730006006342712e-13,7.3516129427922384e-13,0.25503687936240782,0.76646603887855691,0.64837119375170627,0,BTC,0.99999999999999323,HIGH_VOLATILITY,,True,2,0.050000000000000003,0.5,0.5,-0.014209846157741001,0.5,0.0058754731229336832,-0.014209846157740902,0.5,0.0058754731229336832,-0.014209846157740902,BTC,0.050000000000000003,0.5,0.0058754731229336832,-0.014209846157740902,0.75,0.045087692282309022,-0.021350208260483505,-0.0072696480895738848,-0.028408108280312799
2021-01-04,2021-01-05,4.9827050240378674e-32,0.99999999999999956,3.1440605277355787e-16,bull,1.0619833298048763e-14,1.2786715657370445e-14,0.18348867978919192,0.67250411302326785,0.66880156869157803,-0.028408108280312816,BTC,0.99999999999999956,HIGH_VOLATILITY,,True,3,0.050000000000000003,0.5,0.5,0.030734924877738799,0.5,0.0072043581634773646,0.030734924877738878,0.5,0.0072043581634773646,0.030734924877738878,BTC,0.050000000000000003,0.5,0.0072043581634773646,0.030734924877738878,0.75,0.0054424781847478565,0.046107832622166889,0.014804383683790508,0.061484701429615297
2021-01-05,2021-01-06,5.6192631318445794e-30,0.99999999999999556,4.3429553039174643e-15,bull,1.3477310127086977e-13,8.0253521397944755e-15,0.24165327293980132,0.75395641876377062,0.68469229838245083,0,BTC,0.99999999999999556,HIGH_VOLATILITY,,True,4,0.050000000000000003,0.5,0.5,0.041196246228656301,0.5,0.014912723190954713,0.041196246228656364,0.5,0.014912723190954713,0.041196246228656364,BTC,0.050000000000000003,0.5,0.014912723190954713,0.041196246228656364,0.75,0.011020201183458589,0.061805958853190734,0.019600904285299876,0.082423547063236402
2021-01-06,2021-01-07,1.3258353997919832e-31,0.99999999999999922,6.628938186445444e-16,bull,2.1795896701537843e-14,7.343797466535941e-15,0.27450144966694023,0.91924134225667276,0.7074152815589615,0,BTC,0.99999999999999922,HIGH_VOLATILITY,,True,5,0.050000000000000003,0.5,0.5,0.036222602584458898,0.5,0.0197902936651565,0.036222602584458974,0.5,0.0197902936651565,0.036222602584458974,BTC,0.050000000000000003,0.5,0.0197902936651565,0.036222602584458974,0.75,0.014554678879637239,0.054349319270751595,0.017341829552775231,0.072486220279834396
2021-01-07,2021-01-08,3.9985980558053269e-36,1,2.1968043081084025e-18,bull,8.1303501792606765e-17,1.4378531315740456e-15,0.36307488238098173,1.1531653443628387,0.68415518574504608,0,BTC,0.99999999999999922,HIGH_VOLATILITY,episode-000006|episode-000005|episode-000004,True,5,0.050000000000000003,0.5,0.5,0.01441579033931,0.5,0.017487744808756145,0.014415790339310064,0.5,0.017487744808756145,0.014415790339310064,BTC,0.050000000000000003,0.5,0.017487744808756145,0.014415790339310064,0.75,0.012890384845895442,0.021637126275535268,0.0070934956133446095,0.0288670609880337
2021-01-08,2021-01-09,2.516241381163636e-40,1,1.0941871716125954e-20,bull,4.5776560294579026e-19,2.1858624363922765e-18,0.38281465536326764,1.1891135554836625,0.6824273887216129,0,BTC,0.99999999999999922,HIGH_VOLATILITY,episode-000007|episode-000006|episode-000005,True,5,0.050000000000000003,0.5,0.5,-0.0055170221015119003,0.5,0.0071140839000993772,-0.0055170221015119481,0.5,0.0071140839000993772,-0.0055170221015119481,BTC,0.050000000000000003,0.5,0.0071140839000993772,-0.0055170221015119481,0.75,0.0052978734091497781,-0.0082701749106628419,-0.0027722654574360859,-0.0110198944316773
2021-01-09,2021-01-10,5.9332842790265787e-42,1,1.2451458892065317e-21,bull,5.4555315502194402e-20,9.6967258269194232e-21,0.24721292939835315,1.2004417116050683,0.6786193302494149,-0.011019894431677391,BTC,0.99999999999999323,HIGH_VOLATILITY,episode-000007|episode-000008|episode-000006|episode-000003|episode-000005,True,5,0.050000000000000003,0.5,0.5,-0.0244062800485331,0.5,0.0027702374701552013,-0.024406280048533069,0.5,0.0027702374701552013,-0.024406280048533069,BTC,0.050000000000000003,0.5,0.0027702374701552013,-0.024406280048533069,0.75,0.0020834497531898588,-0.036607373306463353,-0.012585188461793986,-0.048807154829534898
2021-01-10,2021-01-11,2.9054209572251585e-41,1,2.3009882999314254e-21,bull,9.9530241013087996e-20,1.0558424107248938e-21,0.15878260500198715,1.1190106305066689,0.71729972249534646,-0.059289199567480355,BTC,0.99999999999999922,HIGH_VOLATILITY,episode-000006|episode-000007,True,5,0.050000000000000003,0.5,0.5,-0.034677528693381199,0.5,0.012507004356422546,-0.034677528693381254,0.5,0.012507004356422546,-0.034677528693381254,BTC,0.050000000000000003,0.5,0.012507004356422546,-0.034677528693381254,0.75,0.009499058027448104,-0.052007187999308147,-0.018115292726169865,-0.069330910500049497
2021-01-11,2021-01-12,4.954340585009968e-38,1,1.5056677068369944e-19,bull,5.9398077803331966e-18,1.4826578238376801e-19,0.10997545483502291,0.88975963506637812,0.7895096977948729,-0.1245095358786974,BTC,0.99999999999999956,HIGH_VOLATILITY,episode-000004|episode-000005,True,5,0.050000000000000003,0.5,0.5,-0.020670684818698101,0.5,0.01795515111240692,-0.02067068481869816,0.5,0.01795515111240692,-0.02067068481869816,BTC,0.050000000000000003,0.5,0.01795515111240692,-0.02067068481869816,0.70000000000000007,0.036287425315086996,-0.028949578894313266,-0.0084895711795274255,-0.041306200994252397
2021-01-12,2021-01-13,1.4216618415499967e-31,0.99999999999999922,6.9670035617936204e-16,bull,2.2839833130897904e-14,1.473705906646288e-15,0.0024888575084947018,0.77694401568562022,0.81994838343411791,-0.16067272095824325,BTC,0.99999999999999922,HIGH_VOLATILITY,,True,5,0.050000000000000003,0.5,0.5,0.048499483811063497,0.5,0.010544323215609275,0.048499483811063504,0.5,0.010544323215609275,0.048499483811063504,BTC,0.050000000000000003,0.5,0.010544323215609275,0.048499483811063504,0.70000000000000007,0.0089325819258929684,0.067905216267080126,0.01833890873809587,0.097021079290176795
