index,arm,decision_date,return_date,hard_regime,asset_simple_return,pretrade_exposure,exposure,net_return_after_trading_costs,net_log_return_after_trading_costs,gross_return_before_trading_costs,turnover,cost_fraction,trading_cost_in_wealth_units,wealth_before,wealth_after,action,beta,core_desired_exposure,desired_exposure,shadow_pretrade_exposure,shadow_exposure,shadow_net_return,reference_net_return,shadow_log_advantage_vs_ramoe,valid,error,confidence,cited_memory_ids,cited_memory_count,retrieved_memory_ids,retrieved_memory_count,memory_total_before,retrieved_memory_cross_year_count,retrieved_memory_cross_regime_count,retrieved_memory_max_age_days,request_sha256,latency_seconds,input_token_count,output_token_count,action_headroom,projection_changes_selected_target,advisor,trust_mode,memory_mode,risk_mode,preview_btc_desired_exposure,preview_btc_exposure,preview_cash_desired_exposure,preview_cash_exposure,preview_abstain_desired_exposure,preview_abstain_exposure
0,llama_no_risk,2021-01-01,2021-01-02,bull,0.096505778289435407,0,0.52499999999999991,0.050113934196812648,0.048898667041651647,0.050665533601953583,0.52499999999999991,0.00052499999999999997,0.00052499999999999997,1,1.0501139341968126,BTC,0.050000000000000003,0.49999999999999994,0.52499999999999991,0,1,0.095409272511145948,0.033415200443461801,0.05825901236577756,True,,0.99999999999949363,[],0,[],0,0,0,0,,a5f917ecd2fac247044e470150b5dcc20168111ff80ee5d38a17f48cf7accf63,5.961457833647728,876,45,True,False,llama,adaptive,expanding,none,0.52499999999999991,0.52499999999999991,0.47499999999999992,0.47499999999999992,0.49999999999999994,0.49999999999999994
1,llama_no_risk,2021-01-02,2021-01-03,bull,0.0237813458079787,0.5479056038208685,0.52500000000000002,0.012462014964172985,0.012385003210043821,0.012485206549188818,0.022905603820868481,2.290560382086848e-05,2.4053493743485745e-05,1.0501139341968126,1.06320046975886,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,0.023781345807978749,0.0117603795515026,0.011811210602882741,True,,0.99999999999962563,[],0,['episode-000001'],1,1,0,0,0,fafedcccfc0b35148c53033449e7e262aa59d2c0add58aca73d76ef01671b5d3,5.5153716839849949,974,38,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
2,llama_no_risk,2021-01-03,2021-01-04,bull,-0.028408108280312799,0.53085734297400489,0.52500000000000002,-0.014920026832220601,-0.015032450072583144,-0.01491425684716422,0.0058573429740048644,5.8573429740048646e-06,6.2275298015007295e-06,1.06320046975886,1.0473374902220283,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,-0.028408108280312816,-0.014209846157741001,-0.014507654427491067,True,,0.99999999999999323,[],0,"['episode-000001', 'episode-000002']",2,2,0,0,1,3c7b48ff2c61c5209705bcb89c46a4ec7c4744ce0eda08fe27fb511902a809dc,5.7037081513553858,1070,38,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
3,llama_no_risk,2021-01-04,2021-01-05,bull,0.061484701429615297,0.51780847169736788,0.52499999999999991,0.03227204458353583,0.031762241413172465,0.032279468250548025,0.0071915283026320331,7.1915283026320332e-06,7.5319572033393171e-06,1.0473374902220283,1.0811372124004821,BTC,0.050000000000000003,0.49999999999999994,0.52499999999999991,1,1,0.061484701429615374,0.030734924877738799,0.029396522731948857,True,,0.99999999999999956,[],0,"['episode-000001', 'episode-000002', 'episode-000003']",3,3,0,0,2,a4ea1c5967161d56176e773c3323a4e3d6baa85d56f439f300a6632786024543,5.8192013558000326,1211,38,True,False,llama,adaptive,expanding,none,0.52499999999999991,0.52499999999999991,0.47499999999999992,0.47499999999999992,0.49999999999999994,0.49999999999999994
4,llama_no_risk,2021-01-05,2021-01-06,bull,0.082423547063236402,0.53985329108114044,0.52499999999999991,0.043256866180126474,0.042347421996864101,0.043272362208199106,0.014853291081140529,1.4853291081140529e-05,1.6058445714437215e-05,1.0811372124004821,1.1279038201196447,BTC,0.050000000000000003,0.49999999999999994,0.52499999999999991,1,1,0.082423547063236402,0.041196246228656301,0.03883226323468901,True,,0.99999999999999556,[],0,"['episode-000001', 'episode-000002', 'episode-000003', 'episode-000004']",4,4,0,0,3,3fbd3ded6f451a3e6c0d62842a098b447a51dc14ae0c5d4e0ef082032692bc44,6.1098499372601509,1294,38,True,False,llama,adaptive,expanding,none,0.52499999999999991,0.52499999999999991,0.47499999999999992,0.47499999999999992,0.49999999999999994,0.49999999999999994
5,llama_no_risk,2021-01-06,2021-01-07,bull,0.072486220279834396,0.54470182743592366,0.52499999999999991,0.03803481406120035,0.037329323739254981,0.038055265646913049,0.019701827435923747,1.9701827435923747e-05,2.2221766428316418e-05,1.1279038201196447,1.170803432196813,BTC,0.050000000000000003,0.49999999999999994,0.52499999999999991,1,1,0.072486220279834424,0.036222602584458898,0.034397535397442586,True,,0.99999999999999922,[],0,"['episode-000001', 'episode-000002', 'episode-000003', 'episode-000004', 'episode-000005']",5,5,0,0,4,78d56cb5eaadbe5ef9f91a95a41d7a860dc5e7d6f160fe7b8056998fb9deddbb,6.3726607374846935,1391,38,True,False,llama,adaptive,expanding,none,0.52499999999999991,0.52499999999999991,0.47499999999999992,0.47499999999999992,0.49999999999999994,0.49999999999999994
6,llama_no_risk,2021-01-07,2021-01-08,bull,0.0288670609880337,0.54241357303459037,0.52500000000000002,0.015137529539378747,0.01502410039798179,0.015155207018717693,0.017413573034590346,1.7413573034590347e-05,2.0387871075708251e-05,1.170803432196813,1.1885265037364983,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,0.02886706098803371,0.01441579033931,0.014145385308496506,True,,0.99999999999999922,"['episode-000006', 'episode-000005', 'episode-000004']",3,"['episode-000002', 'episode-000003', 'episode-000004', 'episode-000005', 'episode-000006']",5,6,0,0,4,ca573fb372546c1e425907a8748c5b2c0a12e43a889c945c799881741334cc48,7.8280376009643078,1345,55,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
7,llama_no_risk,2021-01-08,2021-01-09,bull,-0.0110198944316773,0.53209125391281986,0.52500000000000002,-0.0057924948044869584,-0.0058093363704635357,-0.0057854445766305825,0.0070912539128198393,7.0912539128198397e-06,8.4281432201115275e-06,1.1885265037364983,1.1816419701386096,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,-0.01101989443167728,-0.0055170221015119003,-0.0055487661907432139,True,,0.99999999999999922,"['episode-000007', 'episode-000006']",2,"['episode-000002', 'episode-000003', 'episode-000005', 'episode-000006', 'episode-000007']",5,7,0,0,5,632335cc8ff6ec9bdff83dcf819551d5684e63fea8de04e66dd22af1a5104513,7.8136476650834084,1346,55,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
8,llama_no_risk,2021-01-09,2021-01-10,bull,-0.048807154829534898,0.52223592240838879,0.52500000000000002,-0.025626449537046847,-0.025960526829493194,-0.025623756285505821,0.0027640775916112359,2.764077591611236e-06,3.2661500909674842e-06,1.1816419701386096,1.151360681819996,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,-0.048807154829534904,-0.0244062800485331,-0.025329405756812261,True,,0.99999999999999323,"['episode-000007', 'episode-000008', 'episode-000006', 'episode-000003', 'episode-000005']",5,"['episode-000003', 'episode-000005', 'episode-000006', 'episode-000007', 'episode-000008']",5,8,0,0,5,04ab76831a7156a202ffdda49fb42ca0c65e6db96f8a116a1c52753e75c1b704,8.9024116676300764,1348,66,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
9,llama_no_risk,2021-01-10,2021-01-11,bull,-0.069330910500049497,0.5125086402053316,0.52500000000000002,-0.036410764702712983,-0.037090179643290311,-0.036398728012525985,0.012491359794668422,1.2491359794668422e-05,1.4382060530048319e-05,1.151360681819996,1.1094387589462928,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,-0.06933091050004947,-0.034677528693381199,-0.036558434133037714,True,,0.99999999999999556,"['episode-000005', 'episode-000006', 'episode-000007']",3,"['episode-000003', 'episode-000005', 'episode-000006', 'episode-000007', 'episode-000009']",5,9,0,0,6,cdec2957650a65fc4789cdc450013c296552f6255c8b7cff36341638c77cc4ba,7.9422047007828951,1350,54,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
10,llama_no_risk,2021-01-11,2021-01-12,bull,-0.041306200994252397,0.50705752077278854,0.52500000000000002,-0.021703308904991725,-0.021942289825395631,-0.02168575552198251,0.017942479227211483,1.7942479227211485e-05,1.9906081886257149e-05,1.1094387589462928,1.0853602668497109,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,-0.041306200994252418,-0.020670684818698101,-0.021296233176945508,True,,0.99999999999999556,"['episode-000010', 'episode-000004', 'episode-000005']",3,"['episode-000002', 'episode-000003', 'episode-000004', 'episode-000005', 'episode-000010']",5,10,0,0,8,72ce5196d727ad79100a51f480a97369540e012e60945e1100ed8b9044fb692f,7.9753605667501688,1351,54,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
11,llama_no_risk,2021-01-12,2021-01-13,bull,0.097021079290176795,0.51447093540640654,0.52499999999999991,0.050925001253613544,0.049670729932447623,0.050936066627342812,0.010529064593593374,1.0529064593593373e-05,1.1427828356980347e-05,1.0853602668497109,1.1406322397996547,BTC,0.050000000000000003,0.49999999999999994,0.52499999999999991,1,1,0.097021079290176893,0.048499483811063497,0.045238317457274226,True,,0.99999999999999922,[],0,"['episode-000001', 'episode-000002', 'episode-000004', 'episode-000010', 'episode-000011']",5,11,0,0,10,435e7737e99c9d189da80d1130f2c379a3d24ccce77c731cae1c30af66fea0c8,6.3230072520673275,1397,38,True,False,llama,adaptive,expanding,none,0.52499999999999991,0.52499999999999991,0.47499999999999992,0.47499999999999992,0.49999999999999994,0.49999999999999994
12,llama_no_risk,2021-01-13,2021-01-14,bull,0.047977379608476797,0.54802198241766786,0.52500000000000013,0.025164522431478042,0.024853109399316457,0.025188124294450324,0.02302198241766773,2.302198241766773e-05,2.6259615369692611e-05,1.1406322397996547,1.1693357053841602,BTC,0.050000000000000003,0.50000000000000011,0.52500000000000013,1,1,0.047977379608476811,0.023965001800134,0.023179653219167998,True,,0.99999999999968681,[],0,"['episode-000004', 'episode-000005', 'episode-000010', 'episode-000011', 'episode-000012']",5,12,0,0,8,e155c4fde52163e81bd46fc49c9c964614219819f9954bc2a689a53b88d10e17,6.4000451508909464,1395,38,True,False,llama,adaptive,expanding,none,0.52500000000000013,0.52500000000000013,0.47500000000000009,0.47500000000000009,0.50000000000000011,0.50000000000000011
13,llama_no_risk,2021-01-14,2021-01-15,bull,-0.059473091737990501,0.53667040346677652,0.52500000000000002,-0.031234679176549429,-0.031732883396074905,-0.031223373162445014,0.011670403466776502,1.1670403466776502e-05,1.364661946994085e-05,1.1693357053841602,1.1328118797768019,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,-0.059473091737990535,-0.029747910911041699,-0.031115664467662275,True,,0.99999999999999156,[],0,"['episode-000004', 'episode-000010', 'episode-000011', 'episode-000012', 'episode-000013']",5,13,0,0,9,2e84b2c725f503261784ff64aa77d006ff5ef301d387e518f0a6cdd2066b3cee,6.31786884739995,1360,38,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
14,llama_no_risk,2021-01-15,2021-01-16,bull,-0.022425893860358599,0.50969089587702421,0.52499999999999991,-0.011788723137630464,-0.011858761117312988,-0.011773594276688263,0.015309104122975703,1.5309104122975702e-05,1.7342335019246893e-05,1.1328118797768019,1.1194574741590944,BTC,0.050000000000000003,0.49999999999999989,0.52499999999999991,1,1,-0.022425893860358648,-0.011228099057899401,-0.011389568074123403,True,,0.99999999999999956,[],0,"['episode-000004', 'episode-000011', 'episode-000012', 'episode-000013', 'episode-000014']",5,14,0,0,10,f94b85885710433def40131aa3af963e9c5e41aa58696067ff32dac131517c06,6.3382433969527483,1394,38,True,False,llama,adaptive,expanding,none,0.52499999999999991,0.52499999999999991,0.47499999999999987,0.47499999999999987,0.49999999999999989,0.49999999999999989
15,llama_no_risk,2021-01-16,2021-01-17,bull,-0.0049945168589236996,0.51934091494718382,0.52500000000000002,-0.0026277655971800318,-0.0026312242335159407,-0.0026221213509349424,0.005659085052816204,5.6590850528162045e-06,6.3351050592771123e-06,1.1194574741590944,1.1165158023209931,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,-0.0049945168589237143,-0.0025029143213292,-0.002500979296399905,True,,0.99999999999992994,[],0,"['episode-000011', 'episode-000012', 'episode-000013', 'episode-000014', 'episode-000015']",5,15,0,0,4,7ec6b33015081e8fe8bebedd114c5e62ca65c6bf817da72de3fa9e953dd4af36,6.2965786326676607,1361,37,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
16,llama_no_risk,2021-01-17,2021-01-18,bull,0.021585062333284898,0.52375121790009904,0.52500000000000002,0.011330894791478974,0.011267181040570015,0.011332157724974572,0.0012487820999009802,1.2487820999009802e-06,1.3942849481950373e-06,1.1165158023209931,1.129166925410116,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,0.021585062333284943,0.0107912659018649,0.010621948077380209,True,,0.99999999999232003,[],0,"['episode-000011', 'episode-000012', 'episode-000013', 'episode-000015', 'episode-000016']",5,16,0,0,5,006a7907b53d3488b64e61cd4f045c92ea07c4fc2b82ded7fabba5a3be087fdd,6.2730908952653408,1358,37,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
17,llama_no_risk,2021-01-18,2021-01-19,bull,-0.0166688516709819,0.53032245996357097,0.52500000000000013,-0.0087564230095988904,-0.0087949857611081539,-0.0087511471272654993,0.0053224599635708358,5.3224599635708358e-06,6.0099457526837188e-06,1.129166925410116,1.1192794621627769,BTC,0.050000000000000003,0.50000000000000011,0.52500000000000013,1,1,-0.016668851670981866,-0.0083397199889824001,-0.0084346503408567475,True,,0.99999999996670963,[],0,"['episode-000001', 'episode-000012', 'episode-000015', 'episode-000016', 'episode-000017']",5,17,0,0,16,6f89e1c4ac3ee2edb5f30da71d92c8af747fe0a8f1e53d150c812969be729476,6.3530212864279747,1390,38,True,False,llama,adaptive,expanding,none,0.52500000000000013,0.52500000000000013,0.47500000000000009,0.47500000000000009,0.50000000000000011,0.50000000000000011
18,llama_no_risk,2021-01-19,2021-01-20,bull,-0.0146265995239271,0.5208065072424507,0.52500000000000002,-0.0076831260411361901,-0.007712793309955464,-0.0076789647500617279,0.0041934927575493219,4.1934927575493217e-06,4.6936903182533055e-06,1.1192794621627769,1.1106798969797251,BTC,0.050000000000000003,0.5,0.52500000000000002,1,1,-0.014626599523927086,-0.0073174712658941998,-0.0073902475821839668,True,,0.99999999995576683,[],0,"['episode-000001', 'episode-000004', 'episode-000012', 'episode-000017', 'episode-000018']",5,18,0,0,17,dec60860a240a1fd72b932ebc8bd24afd3eda806fbd1373dfa4c5b92490751e4,6.3308982495218515,1361,38,True,False,llama,adaptive,expanding,none,0.52500000000000002,0.52500000000000002,0.47499999999999998,0.47499999999999998,0.5,0.5
